대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 중구 대사동 122-17,74.61,벽돌구조,단독주택,(철근)콘크리트,1977-09-20
대전광역시 중구 대사동 122-19,81.12,벽돌구조,단독주택,(철근)콘크리트,1977-08-27
대전광역시 중구 대사동 122-4,171.67,철근콘크리트구조,단독주택,(철근)콘크리트,1977-12-19
대전광역시 중구 대사동 122-6,39.57,일반목구조,단독주택,기와,1948
대전광역시 중구 대사동 122-7,88.09,벽돌구조,단독주택,(철근)콘크리트,1977-01-11
대전광역시 중구 대사동 122-9,59.86,벽돌구조,단독주택,(철근)콘크리트,1977-01-29
대전광역시 중구 대사동 123-2,71.8,일반목구조,단독주택,기와,1959
대전광역시 중구 대사동 123-3,83.08,철근콘크리트구조,단독주택,(철근)콘크리트,2005-07-08
대전광역시 중구 대사동 123-7,29.42,블록구조,단독주택,기와,1977-05-19
대전광역시 중구 대사동 124-1,48.39,벽돌구조,단독주택,기와,1968-06-25
대전광역시 중구 대사동 124-2,58.74,일반목구조,단독주택,기와,1955
대전광역시 중구 대사동 125-1,80.36,벽돌구조,단독주택,(철근)콘크리트,1971-06-24
대전광역시 중구 대사동 125-4,75.56,벽돌구조,단독주택,(철근)콘크리트,1972-05-31
대전광역시 중구 대사동 127,44.62,일반목구조,단독주택,슬레이트,1960
대전광역시 중구 대사동 127-1,81.39,벽돌구조,단독주택,(철근)콘크리트,1973-11-27
대전광역시 중구 대사동 127-10,78.21,일반목구조,단독주택,기와,1977-03-03
대전광역시 중구 대사동 127-4,226.97,철근콘크리트구조,단독주택,(철근)콘크리트,2000-07-22
대전광역시 중구 대사동 127-5,99.99,벽돌구조,단독주택,(철근)콘크리트,1985-05-08
대전광역시 중구 대사동 128-3,41.77,벽돌구조,제1종근린생활시설,(철근)콘크리트,1996-05-27
대전광역시 중구 대사동 128-6,47.37,일반목구조,단독주택,기와,1960
대전광역시 중구 대사동 128-8,39.47,일반목구조,단독주택,기와,1955
대전광역시 중구 대사동 133-3,96.56,벽돌구조,단독주택,(철근)콘크리트,1983-09-28
대전광역시 중구 대사동 134,44.06,일반목구조,단독주택,기와,1960
대전광역시 중구 대사동 134-2,99.89,철근콘크리트구조,단독주택,(철근)콘크리트,1987-10-29
대전광역시 중구 대사동 134-6,56.85,일반목구조,단독주택,기와,1957
대전광역시 중구 대사동 135-105,76.1,일반목구조,단독주택,기와,
대전광역시 중구 대사동 135-12,103.58,블록구조,단독주택,슬레이트,1984-05-10
대전광역시 중구 대사동 135-123,66.59,벽돌구조,단독주택,(철근)콘크리트,1975-12-13
대전광역시 중구 대사동 135-125,108.73,벽돌구조,단독주택,(철근)콘크리트,1978-12-20
대전광역시 중구 대사동 135-13,48.13,일반목구조,단독주택,기와,1955
대전광역시 중구 대사동 135-14,26.97,일반목구조,단독주택,기와,
대전광역시 중구 대사동 135-2,75.12,벽돌구조,단독주택,(철근)콘크리트,1995-05-18
대전광역시 중구 대사동 135-21,90.16,벽돌구조,단독주택,(철근)콘크리트,1979-06-25
대전광역시 중구 대사동 135-23,67.06,벽돌구조,단독주택,(철근)콘크리트,1975-12-30
대전광역시 중구 대사동 135-25,29.75,일반목구조,단독주택,기와,1952
