대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 동구 가양동 151-2,84.48,벽돌구조,단독주택,(철근)콘크리트,1983-04-26
대전광역시 동구 가양동 151-3,132.85,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1990-09-13
대전광역시 동구 가양동 151-4,70.15,벽돌구조,단독주택,기타지붕,1983-02-01
대전광역시 동구 가양동 151-5,236.98,철근콘크리트구조,단독주택,(철근)콘크리트,2015-09-22
대전광역시 동구 가양동 151-6,110.69,벽돌구조,단독주택,(철근)콘크리트,1982-12-20
대전광역시 동구 가양동 151-7,79.24,벽돌구조,단독주택,(철근)콘크리트,1983-03-23
대전광역시 동구 가양동 151-8,76.5,벽돌구조,단독주택,(철근)콘크리트,1990-09-07
대전광역시 동구 가양동 151-9,90.64,벽돌구조,단독주택,(철근)콘크리트,1990-09-03
대전광역시 동구 가양동 152-1,158.1,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1984-01-31
대전광역시 동구 가양동 152-11,164.85,철근콘크리트구조,노유자시설,(철근)콘크리트,1983-11-25
대전광역시 동구 가양동 152-12,198.72,철근콘크리트구조,단독주택,(철근)콘크리트,2020-09-25
대전광역시 동구 가양동 152-13,76.16,벽돌구조,단독주택,(철근)콘크리트,1982-07-02
대전광역시 동구 가양동 152-14,73.58,벽돌구조,단독주택,(철근)콘크리트,1982-07-02
대전광역시 동구 가양동 152-15,76.16,벽돌구조,단독주택,(철근)콘크리트,1982-07-02
대전광역시 동구 가양동 152-16,73.58,벽돌구조,단독주택,기타지붕,1982-08-04
대전광역시 동구 가양동 152-17,76.16,벽돌구조,단독주택,(철근)콘크리트,1982-08-04
대전광역시 동구 가양동 152-18,73.58,벽돌구조,단독주택,(철근)콘크리트,1982-08-04
대전광역시 동구 가양동 152-19,73.94,벽돌구조,단독주택,(철근)콘크리트,1982-08-04
대전광역시 동구 가양동 152-21,153.26,철근콘크리트구조,단독주택,(철근)콘크리트,2011-03-21
대전광역시 동구 가양동 152-24,73.94,벽돌구조,단독주택,(철근)콘크리트,1982-06-08
대전광역시 동구 가양동 152-25,73.94,벽돌구조,단독주택,(철근)콘크리트,1982-07-02
대전광역시 동구 가양동 152-4,85.32,벽돌구조,제2종근린생활시설,(철근)콘크리트,1989-12-27
대전광역시 동구 가양동 152-5,97.38,철근콘크리트구조,단독주택,(철근)콘크리트,2014-07-31
대전광역시 동구 가양동 152-6,197.76,철근콘크리트구조,단독주택,(철근)콘크리트,2002-10-29
대전광역시 동구 가양동 152-7,73.94,벽돌구조,단독주택,(철근)콘크리트,1982-07-02
대전광역시 동구 가양동 152-8,60.0,경량철골구조,단독주택,기타지붕,1998-12-21
대전광역시 동구 가양동 152-9,51.84,벽돌구조,단독주택,(철근)콘크리트,1985-06-13
대전광역시 동구 가양동 153-1,274.28,철근콘크리트구조,단독주택,(철근)콘크리트,2021-08-09
대전광역시 동구 가양동 153-11,32.4,블록구조,단독주택,슬레이트,1974-07-04
대전광역시 동구 가양동 153-12,65.52,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1991-12-18
대전광역시 동구 가양동 153-13,94.84,벽돌구조,단독주택,(철근)콘크리트,1999-03-24
대전광역시 동구 가양동 153-15,112.7,철근콘크리트구조,단독주택,(철근)콘크리트,1991-07-22
대전광역시 동구 가양동 153-16,125.23,철근콘크리트구조,단독주택,(철근)콘크리트,2010-08-23
대전광역시 동구 가양동 153-2,75.25,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2022-05-12
대전광역시 동구 가양동 153-4,62.6,블록구조,단독주택,슬레이트,1955
