대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 대덕구 대화동 16-166,122.63,철근콘크리트구조,단독주택,(철근)콘크리트,1992-05-07
대전광역시 대덕구 대화동 16-168,158.41,블록구조,단독주택,(철근)콘크리트,1984-08-24
대전광역시 대덕구 대화동 16-169,88.3,벽돌구조,단독주택,(철근)콘크리트,1978-01-31
대전광역시 대덕구 대화동 16-170,132.97,벽돌구조,단독주택,(철근)콘크리트,1979-12-26
대전광역시 대덕구 대화동 16-171,208.45,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1985-06-20
대전광역시 대덕구 대화동 16-172,117.4,벽돌구조,단독주택,(철근)콘크리트,1978-01-31
대전광역시 대덕구 대화동 16-176,81.98,벽돌구조,단독주택,(철근)콘크리트,1978-05-04
대전광역시 대덕구 대화동 16-177,81.98,벽돌구조,단독주택,(철근)콘크리트,1979-05-08
대전광역시 대덕구 대화동 16-178,84.0,벽돌구조,단독주택,(철근)콘크리트,1987-06-10
대전광역시 대덕구 대화동 16-179,82.8,벽돌구조,단독주택,(철근)콘크리트,1983-05-24
대전광역시 대덕구 대화동 16-19,55.9,벽돌구조,단독주택,(철근)콘크리트,1976-07-12
대전광역시 대덕구 대화동 16-191,109.61,벽돌구조,단독주택,(철근)콘크리트,1990-12-24
대전광역시 대덕구 대화동 16-192,180.62,철근콘크리트구조,단독주택,(철근)콘크리트,2004-10-22
대전광역시 대덕구 대화동 16-197,82.28,벽돌구조,단독주택,(철근)콘크리트,1977-10-31
대전광역시 대덕구 대화동 16-2,5050.7,철근콘크리트구조,공동주택,(철근)콘크리트,1985-03-14
대전광역시 대덕구 대화동 16-208,127.5,벽돌구조,단독주택,(철근)콘크리트,1983-10-15
대전광역시 대덕구 대화동 16-210,898.67,철근콘크리트구조,종교시설,(철근)콘크리트,1995-01-10
대전광역시 대덕구 대화동 16-211,901.95,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1992-10-01
대전광역시 대덕구 대화동 16-212,83.74,벽돌구조,단독주택,(철근)콘크리트,1977-10-31
대전광역시 대덕구 대화동 16-217,139.27,벽돌구조,단독주택,(철근)콘크리트,1989-12-02
대전광역시 대덕구 대화동 16-22,92.93,벽돌구조,단독주택,(철근)콘크리트,1975-05-23
대전광역시 대덕구 대화동 16-221,260.88,벽돌구조,공동주택,(철근)콘크리트,1990-09-29
대전광역시 대덕구 대화동 16-222,359.84,일반철골구조,제2종근린생활시설,기타지붕,2021-05-17
